"chemical.id","bottle.id","conc","plate.id","well","date","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","DNC_"
726,"C880284","0","21653","A02","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21653","A03","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21653","A04","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21653","A05","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21653","A06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21653","A07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21653","A08","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21653","A09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21653","A10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21653","A11","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21653","A12","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21653","G12","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0","21653","H12","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.015","21651","B10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.015","21651","C10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.015","21651","D10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.015","21651","E10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.015","21651","F10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.015","21651","G10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.015","21651","H10","20201105",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
726,"C880284","0.015","21653","B10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.015","21653","C10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.015","21653","D10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.015","21653","E10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.015","21653","F10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.015","21653","G10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.015","21653","H10","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.046","21651","B09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.046","21651","C09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.046","21651","D09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.046","21651","E09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.046","21651","F09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.046","21651","G09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.046","21651","H09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.046","21653","B09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.046","21653","C09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.046","21653","D09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.046","21653","E09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.046","21653","F09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.046","21653","G09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.046","21653","H09","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.14","21651","B08","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.14","21651","C08","20201105",0,0,0,0,1,0,1,0,1,0,0,0,1,0
726,"C880284","0.14","21651","D08","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.14","21651","E08","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.14","21651","F08","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.14","21651","G08","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.14","21651","H08","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.14","21653","B08","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.14","21653","C08","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.14","21653","D08","20201105",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
726,"C880284","0.14","21653","E08","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.14","21653","F08","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.14","21653","G08","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.14","21653","H08","20201105",0,1,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.41","21651","B07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.41","21651","C07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.41","21651","D07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.41","21651","E07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.41","21651","F07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.41","21651","G07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.41","21651","H07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.41","21653","B07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.41","21653","C07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.41","21653","D07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.41","21653","E07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.41","21653","F07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.41","21653","G07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","0.41","21653","H07","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","1.23","21651","B06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","1.23","21651","C06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","1.23","21651","D06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","1.23","21651","E06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","1.23","21651","F06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","1.23","21651","G06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","1.23","21651","H06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","1.23","21653","B06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","1.23","21653","C06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","1.23","21653","D06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","1.23","21653","E06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","1.23","21653","F06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","1.23","21653","G06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","1.23","21653","H06","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","3.7","21651","B05","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,"C880284","3.7","21651","C05","20201105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
